sh600750 江中药业   2.48 21.45 
sh600751 天津海运   0.89 12.46 
sh600753 东方银星   0.54 12.96 
sh600755 厦门国贸   0.41 12.12 
sh600756 浪潮软件   4.48 21.67 
sh600757 长江传媒   -0.11 9.21 
sh600758 红阳能源   -0.79 8.84 
sh600760 中航黑豹   2.04 11.5 
sh600761 安徽合力   9.98 15.65 
sh600763 通策医疗   0.19 51.39 
sh600764 中电广通   1.38 9.56 
sh600765 中航重机   0.84 20.47 
sh600768 宁波富邦   -0.09 10.7 
sh600769 祥龙电业   0.94 7.5 
sh600770 综艺股份   0.22 9.11 
sh600771 广誉远    2.93 24.6 
sh600773 西藏城投   1.08 12.22 
sh600774 汉商集团   1.04 14.63 
sh600775 南京熊猫   2.65 11.64 
sh600776 东方通信   0.23 8.77 
sh600778 友好集团   -0.22 8.95 
sh600779 水井坊    -0.86 10.39 
sh600780 通宝能源   3.51 7.08 
sh600781 辅仁药业   -0.17 17.54 
sh600782 新钢股份   9.93 6.31 
sh600783 鲁信创投   1.17 25.84 
sh600784 鲁银投资   2.61 9.05 
sh600785 新华百货   0.55 14.69 
sh600787 中储股份   0.5 10.15 
sh600789 鲁抗医药   -4.57 7.94 
sh600790 轻纺城    0.62 8.18 
sh600791 京能置业   2.62 6.26 
sh600792 云煤能源   5.1 7.63 
sh600793 ST宜纸   1.65 11.73 
sh600794 保税科技   1.5 14.91 
sh600795 国电电力   3.98 4.7 
sh600796 钱江生化   0.7 7.22 
sh600797 浙大网新   1.68 7.85 
sh600798 宁波海运   3.07 5.37 
sh600800 天津磁卡   0.16 6.45 
sh600801 华新水泥   9.57 10.42 
sh600802 福建水泥   3.39 8.54 
sh600803 威远生化   -0.42 11.88 
sh600804 鹏博士    2.75 18.3 
sh600805 悦达投资   1.92 11.7 
sh600806 昆明机床   1.2 7.57 
sh600807 天业股份   1.34 8.34 
sh600808 马钢股份   8.24 3.94 
sh600809 山西汾酒   2.52 23.58 
sh600810 神马股份   1.13 7.14 
sh600811 东方集团   2.32 9.25 
sh600812 华北制药   0.96 6.3 
sh600814 杭州解百   1.23 9.03 
sh600815 厦工股份   6.64 9.48 
sh600816 安信信托   2.84 29.31 
sh600817 ST宏盛   2.23 11.94 
sh600818 中路股份   -0.85 23.46 
sh600819 耀皮玻璃   1.76 8.69 
sh600820 隧道股份   6.57 8.43 
sh600821 津劝业    4.23 6.16 
sh600822 上海物贸   0.98 8.28 
sh600823 世茂股份   2.04 12.52 
sh600824 益民集团   0.46 6.6 
sh600825 新华传媒   -0.18 11.24 
sh600826 兰生股份   1.5 19.67 
sh600827 百联股份   0.11 17.54 
sh600828 成商集团   5.02 7.11 
sh600829 三精制药   0.09 11.56 
sh600830 香溢融通   1.59 10.88 
sh600831 广电网络   0.42 9.5 
sh600832 东方明珠   2.37 14.23 
sh600833 第一医药   -0.29 13.7 
sh600834 申通地铁   1.18 10.25 
sh600835 上海机电   1.9 18.26 
sh600836 界龙实业   -0.38 15.94 
sh600837 海通证券   4.18 20.94 
sh600838 上海九百   0.22 9.22 
sh600839 四川长虹   1.5 4.73 
sh600841 上柴股份   3.82 11.15 
sh600843 上工申贝   3.45 12.88 
sh600845 宝信软件   3.27 32.89 
sh600846 同济科技   0.44 9.15 
sh600847 万里股份   -0.47 14.68 
sh600848 自仪股份   2.98 11.42 
sh600850 华东电脑   3.19 37.16 
sh600851 海欣股份   1.04 8.77 
sh600853 龙建股份   9.96 5.52 
sh600854 春兰股份   0.52 5.77 
sh600855 航天长峰   0.1 30.45 
sh600856 长百集团   0.38 10.52 
sh600857 工大首创   0.48 14.75 
sh600858 银座股份   6.06 9.98 
sh600859 王府井    0.8 21.47 
sh600860 *ST京城  0.74 6.81 
sh600861 北京城乡   0.52 9.75 
sh600862 南通科技   1.27 9.59 
sh600863 内蒙华电   2.68 4.6 
sh600864 哈投股份   9.97 14.89 
sh600865 百大集团   -0.25 7.88 
sh600866 星湖科技   0.88 6.91 
sh600867 通化东宝   0.0 15.38 
sh600868 梅雁吉祥   0.52 3.9 
sh600869 智慧能源   0.77 9.17 
sh600870 厦华电子   -2.23 7.9 
sh600871 *ST仪化  4.96 5.71 
sh600872 中炬高新   0.5 10.1 
sh600873 梅花生物   1.78 6.87 
sh600874 创业环保   1.19 11.05 
sh600875 东方电气   4.21 19.55 
sh600877 中国嘉陵   0.12 8.08 
sh600879 航天电子   -1.09 16.29 
sh600880 博瑞传播   -0.53 11.36 
sh600881 亚泰集团   5.2 7.28 
sh600882 华联矿业   1.39 8.04 
sh600883 博闻科技   0.95 8.53 
sh600884 杉杉股份   0.12 16.37 
sh600885 宏发股份   0.05 20.06 
sh600886 国投电力   4.0 10.14 
sh600887 伊利股份   0.11 27.01 
sh600888 新疆众和   1.75 7.57 
sh600889 南京化纤   0.35 8.51 
sh600890 中房股份   2.52 9.35 
sh600891 秋林集团   0.73 6.92 
sh600893 航空动力   0.45 29.3 
sh600894 广日股份   1.81 12.95 
sh600895 张江高科   2.92 11.62 
